,Genre Code,Release Year,Artist Gender,Artist Age,Signal Magnitude,Spectral Centroid,Spectral Flux,MFCC,Tempo,Pitch,Intensity
Cookin' On 3 Burners & Kungs_This Girl (Kungs Vs Cookin' On 3 Burners) (Extended),35,2016,0,22,0.308426,2281.867747,1.558599477,0.36715734,123.046875,23.4548,0.286133
Craig David & Sigala_Ain't Giving Up,3,2016,0,37,0.578753,2883.935067,1.448415689,2.529936726,123.046875,43.0387,0.310956
CRUSH (크러쉬) & 한상원_SKIP,121,2016,0,26,0.383479,2496.277196,1.46436972,3.460848863,117.4538352,20.8395,0.276942
CRUSH (크러쉬)_2411,42,2016,0,26,0.232353,1830.798036,1.469385695,-0.708534035,92.28515625,9.37613,0.209456
CRUSH (크러쉬)_Beautiful,24,2016,0,26,0.368722,1699.759153,1.028889164,1.449858971,112.3471467,8.98495,0.255921
CRUSH (크러쉬)_Oasis (Feat ZICO),15,2015,0,26,0.46117,2804.013519,1.53731113,-0.28368105,95.703125,34.2298,0.287648
CRUSH (크러쉬)_Outside (Feat Beenzino),42,2017,0,26,0.304281,2235.405377,1.505043882,0.157286709,117.4538352,13.4489,0.271779
CRUSH (크러쉬)_어떻게 지내,42,2016,0,26,0.237781,1660.935774,1.159521568,-1.290946024,172.265625,9.96301,0.202948
CRUSH (크러쉬)_우아해 (woo ah),14,2016,0,26,0.235924,2143.50413,1.474602468,0.244065699,135.9991776,8.84893,0.250044
CRUSH (크러쉬)_잊어버리지마 (Feat 태연),42,2016,0,26,0.323163,2397.112228,1.27474387,2.618272827,95.703125,9.05897,0.274326
David Guetta_Bang My Head (Feat Sia & Fetty Wap),112,2015,0,51,0.332312,2551.051263,1.463812936,6.05682223,143.5546875,15.0669,0.315198
David Guetta_Hey Mama (Feat Nicki Minaj & Afrojack) (Afrojack Remix),52,2015,0,51,0.444578,2891.680572,1.488484231,1.98878828,129.1992188,52.9309,0.249172
David Guetta_This One's For You (Feat Zara Larsson) (Official Song UEFA EURO 2016),35,2016,0,51,0.334401,2570.475212,1.29466378,6.087370506,143.5546875,15.6986,0.310494
David Guetta_What I Did For Love (Feat Emeli Sande) (VINAI Remix),52,2015,0,51,0.541773,2810.24455,1.202872742,3.319206392,129.1992188,47.0383,0.305206
DEAN_21,14,2016,0,26,0.225876,2307.673358,1.454170788,1.485342206,112.3471467,17.2243,0.248476
DEAN_D (half moon) (Feat 개코),14,2016,0,26,0.296564,2078.799518,1.289673069,1.77370169,172.265625,14.0808,0.288123
DEAN_I'm Not Sorry (Feat Eric Bellinger),42,2015,0,26,0.314322,2957.822268,1.352950777,6.369128521,129.1992188,26.1726,0.268345
DEAN_Put My Hands On You (Feat Anderson Paak),13,2015,0,26,0.276552,2348.613792,1.486791711,-1.151334084,107.6660156,15.4884,0.247539
DEAN_what2do (Feat Crush & Jeff Bernat),42,2016,0,26,0.285649,2229.950674,1.397756344,1.193429921,95.703125,13.3789,0.274921
DEAN_넘어와 (Feat 백예린),42,2017,0,26,0.24723,2105.017464,1.283733071,1.888869523,161.4990234,12.441,0.239332
Desiigner_Panda,15,2016,0,21,0.205614,2594.113496,1.683522909,3.907296011,143.5546875,37.9554,0.230401
Diana Krall_Alone Again (Naturally) (Feat Michael Buble),28,2015,1,54,0.211279,1450.814263,1.164640723,-3.716301332,143.5546875,7.01145,0.173231
Digital Farm Animals & Cash Cash_Millionaire (Feat Nelly),35,2016,0,30,0.332664,2572.756343,1.424318875,3.047556119,135.9991776,27.2316,0.240365
Dimitri Vegas & Like Mike vs. VINAI_Louder (Radio Edit),35,2015,0,36,0.491508,2889.527703,1.142043439,6.999533846,129.1992188,43.1145,0.343057
Diplo & CL & RiFF RAFF & OG Maco_Doctor Pepper,27,2015,0,39,0.135133,2847.128828,1.821087477,1.588371273,135.9991776,34.5492,0.281928
Disclosure_Holding On (Feat Gregory Porter),35,2015,0,25,0.332741,2930.87707,1.814921289,1.184086226,123.046875,48.2801,0.275295
DJ Snake_Let Me Love You (Feat Justin Bieber),52,2016,0,32,0.325782,2088.546111,1.407194189,5.438188424,135.9991776,11.0158,0.287988
DJ Snake_Middle (Feat Bipolar Sunshine),35,2016,0,32,0.223926,2477.489459,1.337580751,1.576079385,103.359375,13.0385,0.253232
Drake_Hotline Bling,15,2015,0,32,0.114244,2199.115622,1.836371416,0.802219437,135.9991776,10.067,0.248353
Drake_One Dance (Feat WizKid & Kyla),42,2016,0,32,0.162202,2025.909038,1.906529594,3.098133367,135.9991776,9.84858,0.27552
Drake_Too Good (Feat Rihanna),13,2016,0,32,0.177822,1733.963131,1.768507685,5.600680557,95.703125,6.1345,0.299425
Dua Lipa_Blow Your Mind (Mwah),13,2017,1,23,0.304321,2411.74962,1.408048718,6.23158066,107.6660156,16.1439,0.329817
Ed Sheeran_Cold Coffee,13,2015,0,27,0.385667,1999.160202,1.157455143,0.801629273,92.28515625,12.1494,0.249012
Ed Sheeran_Shape Of You,13,2017,0,27,0.441775,2187.703745,1.864628904,2.276850494,129.1992188,16.8706,0.310167
Eddie Higgins Trio_A Lovely Way To Spend An Evening,8,2016,0,86,0.146541,1032.345758,1.337404313,-0.205187771,135.9991776,3.81449,0.177972
Eddie Higgins Trio_Alice In Wonderland,8,2015,0,86,0.14598,1458.749335,1.228430486,0.947054207,161.4990234,4.8001,0.144236
Eddie Higgins Trio_Beautiful Love,8,2015,0,86,0.243556,565.70136,0.700903893,-3.165232646,129.1992188,4.70657,0.17282
Eddie Higgins Trio_In Love In Vain,83,2016,0,86,0.218429,1409.817712,1.320308628,1.386850052,129.1992188,8.91696,0.219994
Ellie Goulding_Love Me Like You Do (영화 '그레이의 50가지 그림자' OST),24,2015,1,32,0.35487,2071.965985,1.101827834,2.209635037,95.703125,16.4204,0.245662
Ellie Goulding_Still Falling For You (영화 '브리짓 존스의 베이비' OST),13,2016,1,32,0.250806,1957.812496,1.178158172,1.686258014,129.1992188,13.676,0.191105
Eminem_Kings Never Die (Feat Gwen Stefani),15,2015,0,46,0.246886,2175.16579,1.388296381,6.72476547,112.3471467,15.7389,0.248366
EXID_HOT PINK,3,2015,1,26,0.551711,2886.088218,1.561997083,5.169404624,107.6660156,41.7351,0.312069
EXID_LIE,3,2016,1,26,0.382433,2662.890392,1.501767472,8.664452913,151.9990809,15.8324,0.416641
EXID_낮보다는 밤,3,2017,1,26,0.316003,2586.433877,1.600591518,4.558669855,112.3471467,15.3947,0.314053
EXID_아예 (Ah Yeah),3,2015,1,26,0.381709,3052.198441,1.465561763,5.511653171,117.4538352,36.9294,0.291859
EXO_CALL ME BABY,3,2015,0,27,0.460981,2700.56043,1.501426953,5.409049289,99.38401442,29.5547,0.323458
EXO_Drop That (Japanese Ver),3,2015,0,27,0.423893,3254.27797,1.40804688,5.453523305,103.359375,39.3605,0.296769
EXO_For Life,116,2016,0,27,0.332522,1710.228627,1.036271449,-2.835379904,92.28515625,13.0418,0.194282
EXO_Ko Ko Bop,16,2017,0,27,0.288784,2749.291901,1.601731737,3.338315303,143.5546875,27.4953,0.269346
EXO_Lotto,3,2016,0,27,0.411955,3020.670978,1.601238514,4.626502142,99.38401442,35.0896,0.29798
EXO_LOVE ME RIGHT,3,2015,0,27,0.400348,3011.048985,1.483183534,6.233745639,112.3471467,28.9838,0.316662
EXO_Lucky One,3,2016,0,27,0.346755,2696.767803,1.597751434,5.505406069,123.046875,21.2527,0.303026
EXO_Monster,3,2016,0,27,0.197483,2477.218416,1.424639024,7.422531844,151.9990809,9.2522,0.335207
EXO_PLAYBOY,42,2015,0,27,0.382674,2456.341839,1.400355521,1.743856386,161.4990234,20.2897,0.260297
